scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Colibri cyanotus,2023-08-12 09:37:00 -0600,,"Carretera a Reserva de Monteverde Al lado de la reserva biologica de Monteverde Monteverde, Provincia de Puntarenas, Monteverde, 60109, Costa Rica",10.3022425,-84.7962093,,Lesser Violetear,https://www.inaturalist.org/observations/181692033,https://static.inaturalist.org/photos/316645637/medium.jpeg,latropaloca,181692033,Colibrí Chico​,Aves,508367,1,0,2023/08/12 9:37 AM,2023-08-12,2023-08-12 15:37:00 UTC,America/Costa_Rica,216,216,,,false,,,1519870,LaTropaLoca,2023-09-04 04:31:42 UTC,2023-09-04 17:16:07 UTC,research,,,NA,false
Colibri cyanotus,2023-08-12 09:34:00 -0600,,"Carretera a Reserva de Monteverde Al lado de la reserva biologica de Monteverde Monteverde, Provincia de Puntarenas, Monteverde, 60109, Costa Rica",10.3022425,-84.7962093,,Lesser Violetear,https://www.inaturalist.org/observations/181692032,https://static.inaturalist.org/photos/316645088/medium.jpeg,latropaloca,181692032,Colibrí Chico​,Aves,508367,1,0,2023/08/12 9:34 AM,2023-08-12,2023-08-12 15:34:00 UTC,America/Costa_Rica,216,216,,,false,,,1519870,LaTropaLoca,2023-09-04 04:31:41 UTC,2023-09-04 14:54:22 UTC,research,,,NA,false
Colibri delphinae,2023-09-03 07:54:14 -0500,,"Dagua, Valle del Cauca, Kolumbien",3.5395612136,-76.6063728556,,Brown Violetear,https://www.inaturalist.org/observations/181557919,https://inaturalist-open-data.s3.amazonaws.com/photos/316395816/medium.jpeg,turtlasim,181557919,Brauner Veilchenohrkolibri,Aves,6076,1,0,2023-09-03 07:54:14,2023-09-03,2023-09-03 12:54:14 UTC,Bogota,269,269,,open,false,gps,gps,7307727,,2023-09-03 14:04:38 UTC,2023-09-03 22:01:17 UTC,research,CC-BY-NC,,2,false
Colibri cyanotus,2023-08-12 09:27:00 -0600,,"Provincia de Puntarenas, Monteverde, Costa Rica",10.302189739,-84.7960264069,,Lesser Violetear,https://www.inaturalist.org/observations/181511700,https://static.inaturalist.org/photos/316310549/medium.jpeg,latropaloca,181511700,Colibrí Chico​,Aves,508367,1,0,2023/08/12 9:27 AM,2023-08-12,2023-08-12 15:27:00 UTC,America/Costa_Rica,610,610,,,false,,,1519870,LaTropaLoca,2023-09-03 05:29:50 UTC,2023-09-03 06:00:10 UTC,research,,,NA,false
Colibri cyanotus,2023-08-12 09:27:00 -0600,,"Provincia de Puntarenas, Monteverde, Costa Rica",10.3022108384,-84.7960911152,,Lesser Violetear,https://www.inaturalist.org/observations/181511699,https://static.inaturalist.org/photos/316310523/medium.jpeg,latropaloca,181511699,Colibrí Chico​,Aves,508367,1,0,2023/08/12 9:27 AM,2023-08-12,2023-08-12 15:27:00 UTC,America/Costa_Rica,310,310,,,false,,,1519870,LaTropaLoca,2023-09-03 05:29:50 UTC,2023-09-03 06:00:14 UTC,research,,,NA,false
Colibri cyanotus,2023-08-12 09:23:00 -0600,,"Carretera a Reserva de Monteverde Al lado de la reserva biologica de Monteverde Monteverde, Provincia de Puntarenas, Monteverde, 60109, Costa Rica",10.3022425,-84.7962093,,Lesser Violetear,https://www.inaturalist.org/observations/181511698,https://static.inaturalist.org/photos/316310421/medium.jpeg,latropaloca,181511698,Colibrí Chico​,Aves,508367,1,0,2023/08/12 9:23 AM,2023-08-12,2023-08-12 15:23:00 UTC,America/Costa_Rica,216,216,,,false,,,1519870,LaTropaLoca,2023-09-03 05:29:49 UTC,2023-09-03 06:00:32 UTC,research,,,NA,false
Colibri thalassinus,2023-09-02 13:23:34 -0600,,San Juan Diuxi,17.2838264745,-97.3776717111,,Mexican Violetear,https://www.inaturalist.org/observations/181460032,https://inaturalist-open-data.s3.amazonaws.com/photos/316210368/medium.jpeg,sopasbar,181460032,Colibrí orejas violetas,Aves,508366,1,0,2023-09-02 13:23:34,2023-09-02,2023-09-02 19:23:34 UTC,Mexico City,2620,2620,,open,false,gps,gps,4239637,Juan Manuel Carmona,2023-09-02 21:59:08 UTC,2023-09-03 07:28:52 UTC,research,CC-BY-NC,,2,false
Colibri delphinae,2019-04-16 12:15:10 -0600,,"Pejibaye, Provincia de Cartago, Jiménez, Costa Rica",9.7839704063,-83.7517545372,,Brown Violetear,https://www.inaturalist.org/observations/181455462,https://static.inaturalist.org/photos/316202586/medium.jpeg,danielgarrigues,181455462,Brown Violetear,Aves,6076,1,0,2019-04-16 12:15:10,2019-04-16,2019-04-16 18:15:10 UTC,America/Costa_Rica,450,450,,open,false,gps,gps,2912116,Daniel Garrigues,2023-09-02 21:32:38 UTC,2023-09-02 22:53:12 UTC,research,,,2,false
Colibri delphinae,2023-08-06 13:25:00 -0500,,"Mirador de Guaycapi,, Quito, Ecuador",0.0330414,-78.6812278,,Brown Violetear,https://www.inaturalist.org/observations/181433760,https://static.inaturalist.org/photos/316161212/medium.jpeg,birdbug62,181433760,Brown Violetear,Aves,6076,1,0,2023/08/06 1:25 PM,2023-08-06,2023-08-06 18:25:00 UTC,America/Guayaquil,211,211,,open,false,,,318400,Candy McNamee,2023-09-02 19:24:36 UTC,2023-09-03 20:32:05 UTC,research,,,NA,false
Colibri coruscans,2014-01-20 14:03:00 -0500,,"Quijos, Ecuador",-0.5910888889,-77.8811027778,,Sparkling Violetear,https://www.inaturalist.org/observations/181317488,https://inaturalist-open-data.s3.amazonaws.com/photos/315984323/medium.jpg,paulkingsnorth,181317488,Sparkling Violetear,Aves,6072,1,0,2014/01/20 2:03 PM,2014-01-20,2014-01-20 19:03:00 UTC,America/Guayaquil,999,999,,open,false,,,6476964,Paul Kingsnorth,2023-09-02 06:24:37 UTC,2023-09-02 06:43:07 UTC,research,CC-BY-NC-ND,,NA,false
Colibri thalassinus,2023-08-26 10:28:00 -0600,,"Cerro Zapotecas, San Pedro Cholula, Pue., México",19.0754825741,-98.3528632991,,Mexican Violetear,https://www.inaturalist.org/observations/181215936,https://inaturalist-open-data.s3.amazonaws.com/photos/315796605/medium.jpeg,joegonzorj,181215936,Colibrí orejas violetas,Aves,508366,1,0,2023/08/26 10.28 AM,2023-08-26,2023-08-26 16:28:00 UTC,Mexico City,150,150,,open,false,,,65448,,2023-09-01 15:57:03 UTC,2023-09-01 16:27:42 UTC,research,CC-BY-NC,,NA,false
Colibri thalassinus,2023-08-26 09:47:00 -0600,,"Cerro Zapotecas, San Pedro Cholula, Pue., México",19.0748133523,-98.3542151324,,Mexican Violetear,https://www.inaturalist.org/observations/181214710,https://inaturalist-open-data.s3.amazonaws.com/photos/315794629/medium.jpeg,joegonzorj,181214710,Colibrí Orejas Violetas,Aves,508366,1,0,2023/08/26 9:47 AM,2023-08-26,2023-08-26 15:47:00 UTC,Mexico City,150,150,,open,false,,,65448,,2023-09-01 15:49:03 UTC,2023-09-02 00:55:57 UTC,research,CC-BY-NC,https://static.inaturalist.org/sounds/804585.mpga?1693616156,NA,false
Colibri coruscans,2018-08-13 13:51:00 -0500,,"C. #2 s/n, Puembo 170179, Ecuador",-0.1657961,-78.3612002,,Sparkling Violetear,https://www.inaturalist.org/observations/181191409,https://inaturalist-open-data.s3.amazonaws.com/photos/315750838/medium.jpg,roylesafaris,181191409,Sparkling Violetear,Aves,6072,2,0,2018/08/13 1:51 PM,2018-08-13,2018-08-13 18:51:00 UTC,America/Guayaquil,212,212,,open,false,,,6249416,Royle Safaris,2023-09-01 12:54:24 UTC,2023-09-02 04:48:47 UTC,research,CC-BY-NC,,NA,false
Colibri cyanotus,2023-09-01 06:49:41 -0500,,"+507, Cerro Punta, Panama",8.849036484,-82.5435399916,,Lesser Violetear,https://www.inaturalist.org/observations/181185277,,keesgroenendijk,181185277,Lesser Violetear,Aves,508367,1,0,2023-09-01 06:49:41,2023-09-01,2023-09-01 11:49:41 UTC,America/Panama,2,2,,,false,,,1420134,,2023-09-01 11:51:18 UTC,2023-09-01 21:17:32 UTC,research,CC-BY-SA,https://static.inaturalist.org/sounds/804158.m4a?1693569081,2,false
Colibri coruscans,2023-07-29 12:38:18 -0500,,"San Francisco, San Francisco, Cundinamarca, CO",4.9787261844,-74.2938305999,,Sparkling Violetear,https://www.inaturalist.org/observations/181162127,https://inaturalist-open-data.s3.amazonaws.com/photos/315696910/medium.jpg,jtorrella,181162127,Colibrí Rutilante,Aves,6072,1,0,2023-07-29 12:38:18-05:00,2023-07-29,2023-07-29 17:38:18 UTC,Bogota,42,42,,open,false,,,7206661,,2023-09-01 06:05:59 UTC,2023-09-04 16:57:35 UTC,research,CC-BY-NC,,3,false
Colibri cyanotus,2023-07-07 16:00:00 -0500,,"Cd Bolívar, Antioquia, Colombia",5.8454938024,-76.1006388994,"aves, caprimulgiformes, colibri cyanotus, trochilidae",Lesser Violetear,https://www.inaturalist.org/observations/181158212,https://inaturalist-open-data.s3.amazonaws.com/photos/315642532/medium.jpg,bioexploradoresfarallones,181158212,Colibrí Chico​,Aves,508367,1,0,2023/07/07 4:00 PM,2023-07-07,2023-07-07 21:00:00 UTC,Bogota,31,31,,,false,,,410330,Bioexploradores Farallones,2023-09-01 05:07:36 UTC,2023-09-01 15:27:30 UTC,research,CC-BY-NC,,NA,false
Colibri coruscans,2023-08-31 17:35:00 -0500,,"RH5F+7GW, Quito 170157, Ecuador",-0.1917704,-78.426165,,Sparkling Violetear,https://www.inaturalist.org/observations/181130578,https://static.inaturalist.org/photos/315674926/medium.jpeg,dsugoniaev,181130578,Sparkling Violetear,Aves,6072,2,0,2023/08/31 5:35 PM,2023-08-31,2023-08-31 22:35:00 UTC,America/Guayaquil,231,231,,open,false,,,5610692,Diego Galárraga Sugoniaev,2023-08-31 23:52:52 UTC,2023-09-04 03:58:25 UTC,research,,,NA,false
Colibri thalassinus,2023-08-31 09:49:03 -0600,,Yanhuitlán,17.5272633713,-97.3442922905,,Mexican Violetear,https://www.inaturalist.org/observations/181128536,https://inaturalist-open-data.s3.amazonaws.com/photos/315628728/medium.jpeg,sopasbar,181128536,Colibrí orejas violetas,Aves,508366,1,0,2023-08-31 09:49:03,2023-08-31,2023-08-31 15:49:03 UTC,Mexico City,2068,2068,,open,false,gps,gps,4239637,Juan Manuel Carmona,2023-08-31 23:34:05 UTC,2023-09-02 14:39:57 UTC,research,CC-BY-NC,,2,false
Colibri coruscans,2023-08-03 17:13:00 -0500,,"Universidad Nacional De Colombia - Sede Bogotá, Bogotá, Bogotá, CO",4.640372842,-74.0837570853,,Sparkling Violetear,https://www.inaturalist.org/observations/181120240,https://inaturalist-open-data.s3.amazonaws.com/photos/315612359/medium.jpg,jtorrella,181120240,Colibrí Rutilante,Aves,6072,1,0,2023-08-04 00:13:00+02:00,2023-08-03,2023-08-03 22:13:00 UTC,Bogota,56,56,,open,false,,,7206661,,2023-08-31 22:13:52 UTC,2023-09-01 04:54:17 UTC,research,CC-BY-NC,,3,false
Colibri thalassinus,2023-08-31 10:41:02 -0600,,Yanhuitlán,17.5272633713,-97.3442922905,,Mexican Violetear,https://www.inaturalist.org/observations/181105340,https://inaturalist-open-data.s3.amazonaws.com/photos/315585423/medium.jpeg,sopasbar,181105340,Colibrí orejas violetas,Aves,508366,2,0,2023-08-31 10:41:02,2023-08-31,2023-08-31 16:41:02 UTC,Mexico City,2068,2068,,open,false,gps,gps,4239637,Juan Manuel Carmona,2023-08-31 20:15:35 UTC,2023-08-31 21:45:08 UTC,research,CC-BY-NC,,2,false
Colibri cyanotus,2023-08-28 18:42:54 -0600,,Curi-Cancha Reserve,10.3064283083,-84.8075363785,,Lesser Violetear,https://www.inaturalist.org/observations/181105163,https://static.inaturalist.org/photos/315585078/medium.jpeg,c_43,181105163,Berg-Veilchenohrkolibri,Aves,508367,2,0,2023-08-28 18:42:54,2023-08-28,2023-08-29 00:42:54 UTC,America/Costa_Rica,210,210,,,false,gps,gps,6709506,C. S.,2023-08-31 20:14:14 UTC,2023-08-31 22:30:13 UTC,research,,,2,false
Colibri coruscans,2023-08-28 16:41:45 -0500,,"Tanicuchi, Ecuador",-0.7542030278,-78.6645126111,,Sparkling Violetear,https://www.inaturalist.org/observations/181094594,https://inaturalist-open-data.s3.amazonaws.com/photos/315566790/medium.jpeg,marceloamores,181094594,Colibrí Orejivioleta Ventriazul,Aves,6072,1,0,2023-08-28 16:41:45,2023-08-28,2023-08-28 21:41:45 UTC,America/Guayaquil,NA,NA,,open,false,gps,gps,1116633,Marcelo Amores,2023-08-31 19:08:11 UTC,2023-08-31 19:44:48 UTC,research,CC-BY-NC,,2,false
Colibri coruscans,2014-01-17 17:19:00 -0500,,"Conocoto, Quito, Ecuador",-0.2968277778,-78.4958222222,,Sparkling Violetear,https://www.inaturalist.org/observations/181083447,https://inaturalist-open-data.s3.amazonaws.com/photos/315544725/medium.jpg,paulkingsnorth,181083447,Sparkling Violetear,Aves,6072,2,0,2014/01/17 5:19 PM,2014-01-17,2014-01-17 22:19:00 UTC,America/Guayaquil,2000,2000,,open,false,,,6476964,Paul Kingsnorth,2023-08-31 17:53:23 UTC,2023-08-31 23:46:22 UTC,research,CC-BY-NC-ND,,NA,false
Colibri cyanotus,2023-08-29 17:28:00 -0500,,Santa Lucía Ecolodge,0.118406,-78.61208,,Lesser Violetear,https://www.inaturalist.org/observations/181068167,https://inaturalist-open-data.s3.amazonaws.com/photos/315512588/medium.jpeg,holgerbeck,181068167,Lesser Violetear,Aves,508367,1,0,2023/08/29 5:28 PM,2023-08-29,2023-08-29 22:28:00 UTC,America/Guayaquil,450,450,,,false,,,1739120,Holger Beck,2023-08-31 16:03:30 UTC,2023-08-31 16:06:39 UTC,research,CC-BY-NC,,NA,false
Colibri coruscans,2023-08-29 17:28:00 -0500,,Santa Lucía Ecolodge,0.118406,-78.61208,,Sparkling Violetear,https://www.inaturalist.org/observations/181068158,https://inaturalist-open-data.s3.amazonaws.com/photos/315512532/medium.jpeg,holgerbeck,181068158,Sparkling Violetear,Aves,6072,1,0,2023/08/29 5:28 PM,2023-08-29,2023-08-29 22:28:00 UTC,America/Guayaquil,450,450,,open,false,,,1739120,Holger Beck,2023-08-31 16:03:29 UTC,2023-09-01 01:20:01 UTC,research,CC-BY-NC,,NA,false
Colibri thalassinus,2023-08-30 12:50:50 -0600,,"Kaltic, 29299 San Cristóbal de las Casas, Chis., México",16.7091612882,-92.6187546551,,Mexican Violetear,https://www.inaturalist.org/observations/181004141,https://inaturalist-open-data.s3.amazonaws.com/photos/315395085/medium.jpeg,ana_laura_ta_tu,181004141,Mexican Violetear,Aves,508366,1,0,2023-08-30 12:50:50,2023-08-30,2023-08-30 18:50:50 UTC,Mexico City,37,37,,open,false,gps,gps,2429292,Ana Laura Gómez López,2023-08-31 02:33:01 UTC,2023-08-31 05:24:03 UTC,research,CC-BY-NC-ND,,2,false
Colibri delphinae,2023-07-18 15:19:00 -0500,,"Los Bancos Canton, Ecuador",-0.0297330445,-78.7525653212,,Brown Violetear,https://www.inaturalist.org/observations/180998344,https://inaturalist-open-data.s3.amazonaws.com/photos/315381798/medium.jpg,giffbeaton,180998344,Brown Violetear,Aves,6076,1,0,2023/07/18 3:19 PM,2023-07-18,2023-07-18 20:19:00 UTC,America/Guayaquil,4,4,,open,false,,,809273,Giff Beaton,2023-08-31 01:28:25 UTC,2023-08-31 01:32:57 UTC,research,CC-BY-NC,,NA,false
Colibri thalassinus,2023-08-26 14:46:00 -0600,,"Zimatlán de Álvarez, Oax., México",16.7391106423,-97.112881907,,Mexican Violetear,https://www.inaturalist.org/observations/180976563,https://inaturalist-open-data.s3.amazonaws.com/photos/315337737/medium.jpeg,diegoman,180976563,Colibrí orejas violetas,Aves,508366,1,0,2023/08/26 2:46 PM,2023-08-26,2023-08-26 20:46:00 UTC,Mexico City,61,61,,open,false,,,132585,Diego Manzano Méndez,2023-08-30 21:55:55 UTC,2023-08-30 21:57:11 UTC,research,CC-BY-NC,,NA,false
Colibri coruscans,2019-12-16 12:46:00 -0500,,"vía Calacalí-La Independencia Km77 15 minutos antes de la Y de Mindo-Ecuador, E28, Mindo 171202厄瓜多",-0.0292585,-78.7526681,,Sparkling Violetear,https://www.inaturalist.org/observations/180946492,https://inaturalist-open-data.s3.amazonaws.com/photos/315281930/medium.jpeg,ryanyuewahchan,180946492,Colibri coruscans,Aves,6072,1,0,2019/12/16 12:46,2019-12-16,2019-12-16 17:46:00 UTC,America/Guayaquil,228,228,,open,false,,,960723,Ryan Yue Wah Chan,2023-08-30 18:11:40 UTC,2023-08-30 18:48:42 UTC,research,CC-BY-NC,,NA,false
Colibri coruscans,2023-07-18 10:12:00 -0500,,"Metropolitan District of Quito, Ecuador",0.0293801294,-78.6806373113,,Sparkling Violetear,https://www.inaturalist.org/observations/180933204,https://inaturalist-open-data.s3.amazonaws.com/photos/315253673/medium.jpg,giffbeaton,180933204,Sparkling Violetear,Aves,6072,2,0,2023/07/18 10:12 AM,2023-07-18,2023-07-18 15:12:00 UTC,America/Guayaquil,8,8,,open,false,,,809273,Giff Beaton,2023-08-30 16:35:48 UTC,2023-08-31 15:39:31 UTC,research,CC-BY-NC,,NA,false
Colibri coruscans,2023-07-18 09:56:00 -0500,,"Metropolitan District of Quito, Ecuador",0.0293801294,-78.6806265825,,Sparkling Violetear,https://www.inaturalist.org/observations/180933201,https://inaturalist-open-data.s3.amazonaws.com/photos/315253663/medium.jpg,giffbeaton,180933201,Sparkling Violetear,Aves,6072,2,0,2023/07/18 9:56 AM,2023-07-18,2023-07-18 14:56:00 UTC,America/Guayaquil,8,8,,open,false,,,809273,Giff Beaton,2023-08-30 16:35:47 UTC,2023-08-31 15:39:35 UTC,research,CC-BY-NC,,NA,false
Colibri cyanotus,2023-07-18 09:47:00 -0500,,"Metropolitan District of Quito, Ecuador",0.029374765,-78.6806373113,,Lesser Violetear,https://www.inaturalist.org/observations/180933191,https://inaturalist-open-data.s3.amazonaws.com/photos/315253613/medium.jpg,giffbeaton,180933191,Lesser Violetear,Aves,508367,1,0,2023/07/18 9:47 AM,2023-07-18,2023-07-18 14:47:00 UTC,America/Guayaquil,8,8,,,false,,,809273,Giff Beaton,2023-08-30 16:35:44 UTC,2023-08-30 17:11:53 UTC,research,CC-BY-NC,,NA,false
Colibri delphinae,2023-07-18 10:00:00 -0500,,"Metropolitan District of Quito, Ecuador",0.0293276162,-78.6806168119,,Brown Violetear,https://www.inaturalist.org/observations/180933165,https://inaturalist-open-data.s3.amazonaws.com/photos/315253532/medium.jpg,giffbeaton,180933165,Brown Violetear,Aves,6076,1,0,2023/07/18 10:00 AM,2023-07-18,2023-07-18 15:00:00 UTC,America/Guayaquil,8,8,,open,false,,,809273,Giff Beaton,2023-08-30 16:35:38 UTC,2023-08-30 17:12:28 UTC,research,CC-BY-NC,,NA,false
Colibri delphinae,2023-07-18 09:59:00 -0500,,"Metropolitan District of Quito, Ecuador",0.0293598027,-78.6806060831,,Brown Violetear,https://www.inaturalist.org/observations/180933164,https://inaturalist-open-data.s3.amazonaws.com/photos/315253534/medium.jpg,giffbeaton,180933164,Brown Violetear,Aves,6076,1,0,2023/07/18 9:59 AM,2023-07-18,2023-07-18 14:59:00 UTC,America/Guayaquil,8,8,,open,false,,,809273,Giff Beaton,2023-08-30 16:35:37 UTC,2023-08-30 17:12:44 UTC,research,CC-BY-NC,,NA,false
Colibri delphinae,2023-07-18 09:58:00 -0500,,"Metropolitan District of Quito, Ecuador",0.0293490738,-78.6806270303,,Brown Violetear,https://www.inaturalist.org/observations/180933160,https://inaturalist-open-data.s3.amazonaws.com/photos/315253521/medium.jpg,giffbeaton,180933160,Brown Violetear,Aves,6076,1,0,2023/07/18 9:58 AM,2023-07-18,2023-07-18 14:58:00 UTC,America/Guayaquil,8,8,,open,false,,,809273,Giff Beaton,2023-08-30 16:35:36 UTC,2023-08-30 17:12:54 UTC,research,CC-BY-NC,,NA,false
Colibri coruscans,2019-12-16 12:46:00 -0500,,厄瓜多基多,-0.1806532,-78.4678382,,Sparkling Violetear,https://www.inaturalist.org/observations/180931672,https://inaturalist-open-data.s3.amazonaws.com/photos/315254635/medium.jpeg,ryanyuewahchan,180931672,Colibri coruscans,Aves,6072,2,0,2019/12/16 12:46,2019-12-16,2019-12-16 17:46:00 UTC,America/Guayaquil,31168,31168,,open,false,,,960723,Ryan Yue Wah Chan,2023-08-30 16:24:06 UTC,2023-08-31 15:41:40 UTC,research,CC-BY-NC,,NA,false
Colibri coruscans,2023-08-29 07:25:00 -0500,,"Urbanizacion Los Algarrobos de la Viña, Quito 170184, Ecuador",-0.1975546541,-78.4042292877,,Sparkling Violetear,https://www.inaturalist.org/observations/180914338,https://inaturalist-open-data.s3.amazonaws.com/photos/315220685/medium.jpg,dawicho,180914338,Sparkling Violetear,Aves,6072,1,0,2023/08/29 7:25 AM,2023-08-29,2023-08-29 12:25:00 UTC,America/Guayaquil,4,4,,open,false,,,1428321,David Torres,2023-08-30 14:10:51 UTC,2023-08-30 14:39:58 UTC,research,CC-BY-NC,,NA,false
